Ticker,Market Cap,P/S,LTP,Book Value
HINDALCO.NS,105517,0.7994665,483.3,299.191
HINDNATGLS.NS,328,0.17422746,38.2,-33.635
HINDPETRO.NS,40137,0.15043063,282.5,257.671
HINDSYNTEX.NS,2,0.14040427,1.45,-1.613
HITECHGEAR.NS,528,0.80555874,286.4,147.039
HSIL.NS,1498,0.74296147,236.65,178.197
HTMEDIA.NS,574,0.51433074,25,90.724
IDEA.NS,32039,0.76398057,11.25,-10.873
IFBAGRO.NS,540,0.6483134,596.15,428.164
IMFA.NS,1943,0.9828233,725.1,460.275
IMPEXFERRO.NS,8,0.12317662,0.95,-26.068
INDIAGLYCO.NS,2082,0.71219426,683.4,344.111
INDIANHUME.NS,966,0.77854246,203.75,124.422
INDLMETER.NS,10,0.117059454,12.35,95.974
INDORAMA.NS,1394,0.52861506,54,12.77
INDSWFTLAB.NS,397,0.43472782,68.1,110.928
INDSWFTLTD.NS,53,0.14716037,9.55,-132.812
INDTERRAIN.NS,169,0.79419154,41.85,48.287
INVENTURE.NS,26,0.654921,3.45,21.978
IOC.NS,111322,0.2657361,118.35,121.794
ISFT.NS,185,0.29429242,130.65,101.075
ISMTLTD.NS,422,0.2637228,28.4,-87.828
ITDCEM.NS,1361,0.4991034,82.25,62.749
IVP.NS,118,0.34184524,118.2,66.325
JAIBALAJI.NS,575,0.16687666,53,-160.358
JAINSTUDIO.NS,5,-149.66922,1.85,12.239
JAYAGROGN.NS,740,0.36668226,259.85,116.293
JAYBARMARU.NS,816,0.44340307,192.3,103.942
JAYNECOIND.NS,1260,0.43476912,20.45,-21.807
JAYSREETEA.NS,312,0.3738768,109.95,128.562
JBFIND.NS,194,0.08816592,25,23.535
JBMA.NS,2155,0.89827627,474.9,157.69
JETAIRWAYS.NS,1165,0.046207845,97.65,-628.459
JINDALSAW.NS,3940,0.3309193,121.7,218.388
JINDALSTEL.NS,39488,0.9990019,395.1,264.037
JINDCOT.NS,16,0.5165534,3.35,16.633
JISLDVREQS.NS,1719,0.30054623,24.1,60.217
JISLJALEQS.NS,1878,0.32831448,37.55,60.217
JKIL.NS,1469,0.5715726,197.05,239.253
JKTYRE.NS,3781,0.35738388,153.95,108.538
JMA.NS,193,0.58182746,65.25,58.766
JMCPROJECT.NS,1700,0.37738892,104.95,26.839
JMTAUTOLTD.NS,138,0.55483204,2.75,2.072
JOCIL.NS,216,0.4070818,247.25,210.723
JPASSOCIAT.NS,2409,0.365923,10.25,6.419
JPINFRATEC.NS,277,0.29672438,2.05,-17.508
JPPOWER.NS,3032,0.91846156,4.35,5.715
JSL.NS,7980,0.53761166,167.15,65.723
JSLHISAR.NS,7011,0.61919516,296.35,125.913
JVLAGRO.NS,12,0.010508311,0.65,-77.688
KALPATPOWR.NS,6079,0.43979695,417.95,226.292
KALYANIFRG.NS,75,0.41585225,203.5,268.547
KAMDHENU.NS,526,0.83799225,201.05,72.689
KANANIIND.NS,89,0.28718135,9,5.097
KANORICHEM.NS,872,0.67694277,210.3,134.366
KARMAENG.NS,22,0.77019423,19.65,19.995
KCPSUGIND.NS,254,0.77476466,22.9,26.403
KEC.NS,10717,0.8172734,428,130.722
KECL.NS,115,0.41696924,17.8,-11.633
KELLTONTEC.NS,503,0.64915514,54.05,46.244
KESORAMIND.NS,1269,0.47863102,77.7,13.703
KGL.NS,44,0.19490613,0.2,8.704
KHAITANLTD.NS,19,0.43548042,40.45,50.287
KIRLOSENG.NS,3081,0.8339201,210.25,133.003
KIRLOSIND.NS,1637,0.60851413,1678.9,1798.032
KMSUGAR.NS,239,0.4770555,26.55,22.087
KOHINOOR.NS,28,0.10605643,7.4,-140.83
KOTARISUG.NS,280,0.66743404,33.55,21.98
KOTHARIPRO.NS,295,0.075203046,103,377.523
KSK.NS,24,0.3963585,0.55,-53.068
KWALITY.NS,51,0.428907,2.2,-87.385
LAKPRE.NS,5,0.019879231,4.5,23.595
LAMBODHARA.NS,86,0.73335147,84.7,64.735
LGBBROSLTD.NS,1314,0.7275127,418.5,280.095
LIBERTSHOE.NS,285,0.62384444,174.95,101.968
LOKESHMACH.NS,99,0.66061574,57.65,79.835
LUMAXIND.NS,1375,0.96440583,1473.2,492.616
LUMAXTECH.NS,949,0.7320475,141.1,77.753
