Ticker,Book Value,EVToEBITDA,PToBV,MarketCap,PToSales,Close
FLEXITUFF.NS,55.172,-125.925,0.27187702,38,0.045428354,15.25
FLFL.NS,50.881,-12.072,1.0534384,1081,0.37447897,52.85
FMGOETZE.NS,141.919,17.504,1.971547,1556,1.6129321,285.6
FMNL.NS,19.251,13.586,0.4493273,49,0.7269495,8.9
FORTIS.NS,81.061,60.395,3.3055356,20229,5.0194783,273.3
FOSECOIND.NS,286.108,21.673,5.21796,960,3.0341218,1502.6
FSL.NS,40.214,18.545,5.1673546,14480,2.6325157,202.4
GABRIEL.NS,48.506,15.582,3.0367377,2119,1.2467414,147.05
GAEL.NS,72.186,6.531,2.5150309,4163,0.8493577,175.45
GAIL.NS,118.058,7.074,1.3052907,68448,1.091069,157.15
GAL.NS,-5.101,-1.694,22222,36,2.1417716,2.3
GALLANTT.NS,81.867,4.737,0.8678711,577,0.47186238,73.15
GALLISPAT.NS,36.902,8.812,1.4430112,1509,1.2139863,56.65
GAMMNINFRA.NS,3.215,25.533,0.5598756,169,0.620974,0
GANDHITUBE.NS,113.155,9.846,3.993637,583,6.223815,463.9
GANECOS.NS,236.943,10.411,2.0753937,1073,1.219595,491.2
GANESHHOUC.NS,103.293,-19.86,1.6191804,872,5.0876465,175.9
GANGOTRI.NS,-71.006,-3976.467,22222,2,22222,0.9
GATI.NS,43.066,82.625,3.229926,1710,1.3015118,140.25
GAYAPROJ.NS,50.582,4.838,1.0675734,1010,0.25867552,56.85
GDL.NS,122.201,12.356,2.147282,3297,2.6249347,258
GEECEE.NS,230.155,3.978,0.6337034,304,6.7888327,149.6
GENESYS.NS,61.902,23.006,2.2648702,438,4.89157,146.55
GENUSPAPER.NS,13.889,12.212,0.70919436,253,0.9798775,10.15
GENUSPOWER.NS,39.251,11.101,1.5872207,1432,2.1868594,64.15
GESHIP.NS,523.469,3.869,0.7186672,5528,1.8202851,369.2
GHCL.NS,261.463,5.634,1.5128335,3760,1.1389661,408.6
GICHSGFIN.NS,228.283,22222,0.66562116,817,1.9336256,154.95
GILLANDERS.NS,133.269,12.392,0.35004392,99,0.21835573,47.5
